Filename	WER	PESQ	clipping
upc_ca_ona_100019.wav	0.2222222222222222	1.5818	40
upc_ca_pau_101079.wav	0.9782608695652174	1.3929	40
common_voice_ca_31798275.wav	1.0	1.5607	40
upc_ca_ona_100050.wav	0.34146341463414637	1.5709	40
common_voice_ca_31457791.wav	1.0	1.4720	40
common_voice_ca_31246494.wav	1.0	1.3840	40
upc_ca_pau_101020.wav	1.0	1.4210	40
common_voice_ca_31481035.wav	0.3333333333333333	1.4853	40
upc_ca_pau_101077.wav	1.0	1.2673	40
upc_ca_ona_100103.wav	0.8695652173913043	1.5253	40
upc_ca_ona_100076.wav	1.0	1.6387	40
upc_ca_ona_100033.wav	1.0	1.4440	40
common_voice_ca_31241498.wav	1.0	1.0472	40
common_voice_ca_19928548.wav	0.8571428571428571	1.1078	40
upc_ca_pau_101004.wav	1.0	1.4728	40
common_voice_ca_31222391.wav	1.0	1.3434	40
common_voice_ca_30855397.wav	1.0	1.1722	40
common_voice_ca_31261312.wav	1.0	1.1931	40
upc_ca_pau_101094.wav	1.0	1.3077	40
upc_ca_pau_101076.wav	1.0	1.3585	40
upc_ca_ona_100032.wav	1.0	1.0473	40
upc_ca_pau_101034.wav	1.0	1.0504	40
common_voice_ca_31783620.wav	1.0	1.0369	40
common_voice_ca_31168000.wav	1.0	1.4207	40
common_voice_ca_18179316.wav	1.0	1.7426	40
upc_ca_pau_101134.wav	1.0	1.4606	40
common_voice_ca_31225995.wav	1.0	1.3070	40
common_voice_ca_30768701.wav	1	3.9735	40
common_voice_ca_28791268.wav	1.0	1.6887	40
upc_ca_ona_100041.wav	0.9375	1.4525	40
common_voice_ca_31471261.wav	1.0	1.2302	40
common_voice_ca_19290202.wav	1.0	1.0542	40
upc_ca_pau_101082.wav	1.0	1.3113	40
upc_ca_pau_101091.wav	1.0	1.4438	40
common_voice_ca_31319263.wav	1.0	1.2798	40
upc_ca_pau_101097.wav	1.0	1.4132	40
common_voice_ca_19908846.wav	1.0	1.6822	40
upc_ca_ona_100026.wav	0.7037037037037037	1.5340	40
upc_ca_ona_100091.wav	1.0	1.4693	40
common_voice_ca_31342983.wav	1.0	1.1467	40
upc_ca_ona_100016.wav	1.0	1.0588	40
common_voice_ca_31085491.wav	1.0	1.0452	40
upc_ca_pau_101056.wav	1.0	1.4108	40
common_voice_ca_31434512.wav	1.0	1.3159	40
upc_ca_pau_101018.wav	1.0	1.3516	40
upc_ca_pau_101054.wav	1.0	1.3849	40
upc_ca_pau_101014.wav	1.0	1.3598	40
common_voice_ca_31302556.wav	1.0	1.6452	40
common_voice_ca_31750472.wav	1.0	1.5014	40
upc_ca_ona_100064.wav	1.0	1.3457	40
upc_ca_ona_100044.wav	1.0	1.4856	40
upc_ca_ona_100097.wav	0.7391304347826086	1.3326	40
upc_ca_pau_101084.wav	1.0	1.3772	40
upc_ca_pau_101062.wav	1.0	1.4923	40
common_voice_ca_31340504.wav	1.0	1.3066	40
common_voice_ca_31497154.wav	1.0	1.3723	40
common_voice_ca_30828394.wav	0.7368421052631579	1.4359	40
common_voice_ca_19911316.wav	0.9	1.2915	40
upc_ca_ona_100014.wav	0.5483870967741935	1.2872	40
upc_ca_ona_100098.wav	1.0	1.3399	40
upc_ca_pau_101000.wav	1.0	1.4313	40
upc_ca_ona_100067.wav	1.0	1.1211	40
upc_ca_pau_101066.wav	0.7241379310344828	1.4099	40
upc_ca_ona_100051.wav	1.0	1.0409	40
upc_ca_ona_100065.wav	1.0	1.2609	40
upc_ca_ona_100057.wav	1.0	1.5290	40
common_voice_ca_31814500.wav	1.0	1.3135	40
common_voice_ca_20502079.wav	0.8461538461538461	1.3941	40
common_voice_ca_30763773.wav	1.0	1.4519	40
upc_ca_ona_100053.wav	1.0	1.5239	40
common_voice_ca_31132759.wav	1.0	1.3576	40
upc_ca_ona_100094.wav	1.0	1.4027	40
common_voice_ca_30882479.wav	1.0	1.1637	40
common_voice_ca_30935636.wav	0.3157894736842105	1.4308	40
common_voice_ca_31056644.wav	1.0	1.4304	40
common_voice_ca_19503277.wav	1.0	1.4995	40
common_voice_ca_30816592.wav	1.0	1.2055	40
upc_ca_ona_100099.wav	0.7297297297297297	1.3251	40
upc_ca_ona_100073.wav	1.0	1.4699	40
upc_ca_ona_100089.wav	0.5	1.6126	40
common_voice_ca_31089514.wav	1.0	1.2530	40
upc_ca_pau_101002.wav	1.0	1.4702	40
common_voice_ca_31325506.wav	1.0	1.2414	40
common_voice_ca_31719365.wav	1.0	1.5864	40
upc_ca_ona_100081.wav	0.64	1.6686	40
common_voice_ca_30886880.wav	1.0	1.1309	40
upc_ca_ona_100004.wav	0.3870967741935484	1.5779	40
common_voice_ca_31402794.wav	0.9545454545454546	1.5064	40
common_voice_ca_31222392.wav	1.0	1.3989	40
upc_ca_pau_101100.wav	1.0	1.4152	40
upc_ca_pau_101001.wav	1.0	1.2369	40
upc_ca_ona_100035.wav	0.375	1.5076	40
upc_ca_pau_101085.wav	1.0	1.4266	40
common_voice_ca_31340621.wav	1.0	1.3606	40
