Filename	WER	PESQ	stretch
common_voice_ca_27232411.wav	0.07142857142857142	1.6649	1.02
upc_ca_ona_100087.wav	0.03333333333333333	1.5388	1.02
common_voice_ca_31376805.wav	0.3333333333333333	1.7614	1.02
common_voice_ca_31074124.wav	0.3333333333333333	1.6959	1.02
upc_ca_pau_101061.wav	0.06060606060606061	1.6895	1.02
upc_ca_pau_101049.wav	0.07692307692307693	1.8395	1.02
common_voice_ca_31089515.wav	0.0	1.8149	1.02
common_voice_ca_31149064.wav	0.0	1.6369	1.02
upc_ca_ona_100107.wav	0.3333333333333333	1.7631	1.02
common_voice_ca_30746873.wav	0.6153846153846154	1.7783	1.02
common_voice_ca_31135093.wav	0.07142857142857142	1.9962	1.02
common_voice_ca_31078509.wav	0.45454545454545453	1.9472	1.02
upc_ca_pau_101037.wav	0.0	1.7379	1.02
upc_ca_ona_100100.wav	0.10526315789473684	1.5492	1.02
upc_ca_ona_100056.wav	0.0851063829787234	1.5927	1.02
upc_ca_pau_101098.wav	0.0	1.6130	1.02
common_voice_ca_27293083.wav	0.0	2.4584	1.02
upc_ca_pau_101089.wav	0.0	1.7893	1.02
common_voice_ca_31132763.wav	0.46153846153846156	2.0712	1.02
common_voice_ca_31277562.wav	0.0	1.9589	1.02
upc_ca_ona_100012.wav	0.07692307692307693	1.3579	1.02
upc_ca_ona_100021.wav	0.0	1.6898	1.02
common_voice_ca_19937262.wav	0.3333333333333333	2.2429	1.02
upc_ca_pau_101045.wav	0.1111111111111111	1.7228	1.02
upc_ca_pau_101099.wav	0.1111111111111111	1.8025	1.02
upc_ca_pau_101053.wav	0.0	1.6516	1.02
upc_ca_pau_101036.wav	0.05555555555555555	1.8941	1.02
common_voice_ca_31085493.wav	0.2	1.5949	1.02
upc_ca_ona_100019.wav	0.027777777777777776	1.5513	1.02
upc_ca_pau_101079.wav	0.10869565217391304	1.6879	1.02
common_voice_ca_31798275.wav	0.1	1.7430	1.02
upc_ca_ona_100050.wav	0.024390243902439025	1.6127	1.02
common_voice_ca_31457791.wav	0.4	2.2458	1.02
common_voice_ca_31246494.wav	0.3333333333333333	2.3538	1.02
upc_ca_pau_101020.wav	0.0	1.7355	1.02
common_voice_ca_31481035.wav	0.26666666666666666	1.9079	1.02
upc_ca_pau_101077.wav	0.0	2.0127	1.02
upc_ca_ona_100103.wav	0.2608695652173913	1.5958	1.02
upc_ca_ona_100076.wav	0.0	1.9173	1.02
upc_ca_ona_100033.wav	0.07142857142857142	1.5450	1.02
common_voice_ca_31241498.wav	0.16666666666666666	2.6571	1.02
common_voice_ca_19928548.wav	0.42857142857142855	1.5173	1.02
upc_ca_pau_101004.wav	0.06451612903225806	1.8331	1.02
common_voice_ca_31222391.wav	0.07692307692307693	2.0627	1.02
