Filename	WER	PESQ	SNR	Difficulty
upc_ca_ona_100107.wav	0.3333333333333333	1.0615	0	hard
common_voice_ca_30746873.wav	0.7692307692307693	1.048	0	hard
common_voice_ca_31135093.wav	0.07142857142857142	1.0519	0	hard
common_voice_ca_31078509.wav	0.9090909090909091	1.0757	0	hard
upc_ca_pau_101037.wav	0.4642857142857143	1.0604	0	hard
upc_ca_ona_100100.wav	0.05263157894736842	1.0726	0	hard
upc_ca_ona_100056.wav	0.19148936170212766	1.0676	0	hard
upc_ca_pau_101098.wav	0.35	1.078	0	hard
common_voice_ca_27293083.wav	0.5555555555555556	1.0566	0	hard
upc_ca_pau_101089.wav	0.6785714285714286	1.0694	0	hard
common_voice_ca_31132763.wav	0.7692307692307693	1.0922	0	hard
common_voice_ca_31277562.wav	0.6	1.0482	0	hard
upc_ca_ona_100012.wav	0.07692307692307693	1.078	0	hard
upc_ca_ona_100021.wav	0.12903225806451613	1.067	0	hard
common_voice_ca_19937262.wav	0.4444444444444444	1.1076	0	hard
upc_ca_pau_101045.wav	0.3333333333333333	1.0651	0	hard
upc_ca_pau_101099.wav	0.3333333333333333	1.0809	0	hard
upc_ca_pau_101053.wav	0.13793103448275862	1.0801	0	hard
upc_ca_pau_101036.wav	0.2222222222222222	1.0585	0	hard
common_voice_ca_31085493.wav	0.4	1.0519	0	hard
upc_ca_ona_100019.wav	0.05555555555555555	1.0744	0	hard
upc_ca_pau_101079.wav	0.15217391304347827	1.0658	0	hard
common_voice_ca_31798275.wav	0.3	1.0888	0	hard
upc_ca_ona_100050.wav	0.024390243902439025	1.0791	0	hard
common_voice_ca_31457791.wav	1.0	1.1385	0	hard
common_voice_ca_31246494.wav	0.5	1.0765	0	hard
upc_ca_pau_101020.wav	0.14285714285714285	1.0671	0	hard
common_voice_ca_31481035.wav	0.2	1.076	0	hard
upc_ca_pau_101077.wav	0.35294117647058826	1.0721	0	hard
upc_ca_ona_100103.wav	0.17391304347826086	1.068	0	hard
upc_ca_ona_100076.wav	0.0	1.0813	0	hard
upc_ca_ona_100033.wav	0.21428571428571427	1.0771	0	hard
common_voice_ca_31241498.wav	0.16666666666666666	1.0927	0	hard
common_voice_ca_19928548.wav	0.7142857142857143	1.0334	0	hard
upc_ca_pau_101004.wav	0.3548387096774194	1.0953	0	hard
common_voice_ca_31222391.wav	0.07692307692307693	1.0682	0	hard
common_voice_ca_30855397.wav	0.9285714285714286	1.0444	0	hard
common_voice_ca_31261312.wav	0.625	1.0612	0	hard
upc_ca_pau_101094.wav	0.1	1.0598	0	hard
upc_ca_pau_101076.wav	0.7857142857142857	1.0897	0	hard
upc_ca_ona_100032.wav	0.0	1.0626	0	hard
upc_ca_pau_101034.wav	0.375	1.0667	0	hard
common_voice_ca_31783620.wav	1.0	1.0555	0	hard
common_voice_ca_31168000.wav	0.09090909090909091	1.0611	0	hard
common_voice_ca_18179316.wav	1.0	1.1751	0	hard
upc_ca_pau_101134.wav	0.23684210526315788	1.0791	0	hard
common_voice_ca_31225995.wav	0.3333333333333333	1.0513	0	hard
common_voice_ca_30768701.wav	1.0	2.7412	0	hard
common_voice_ca_28791268.wav	0.5714285714285714	1.0805	0	hard
upc_ca_ona_100041.wav	0.0625	1.0656	0	hard
common_voice_ca_31471261.wav	0.5	1.0534	0	hard
common_voice_ca_19290202.wav	1.0	1.0624	0	hard
upc_ca_pau_101082.wav	0.4473684210526316	1.0694	0	hard
upc_ca_pau_101091.wav	0.1	1.0659	0	hard
common_voice_ca_31319263.wav	0.4444444444444444	1.0613	0	hard
upc_ca_pau_101097.wav	0.20833333333333334	1.0752	0	hard
common_voice_ca_19908846.wav	0.0	1.115	0	hard
upc_ca_ona_100026.wav	0.1111111111111111	1.0688	0	hard
upc_ca_ona_100091.wav	0.03225806451612903	1.0729	0	hard
common_voice_ca_31342983.wav	0.8571428571428571	1.0576	0	hard
upc_ca_ona_100016.wav	0.05263157894736842	1.0676	0	hard
common_voice_ca_31085491.wav	0.5	1.0453	0	hard
upc_ca_pau_101056.wav	0.3404255319148936	1.0621	0	hard
common_voice_ca_31434512.wav	0.36363636363636365	1.0863	0	hard
upc_ca_pau_101018.wav	0.125	1.0694	0	hard
upc_ca_pau_101054.wav	0.6	1.0652	0	hard
upc_ca_pau_101014.wav	0.35714285714285715	1.0686	0	hard
common_voice_ca_31302556.wav	0.45454545454545453	1.0906	0	hard
common_voice_ca_31750472.wav	0.6	1.0879	0	hard
