Filename	WER	PESQ	width
common_voice_ca_31457791.wav	1.0	1.1371	10
common_voice_ca_31246494.wav	1.0	1.1634	10
upc_ca_pau_101020.wav	1.0	1.1449	10
common_voice_ca_31481035.wav	1.0	1.1017	10
upc_ca_pau_101077.wav	1.0	1.2170	10
upc_ca_ona_100103.wav	1.0	1.0903	10
upc_ca_ona_100076.wav	1.0	1.2025	10
upc_ca_ona_100033.wav	1.0	1.1428	10
common_voice_ca_31241498.wav	1.0	1.3598	10
common_voice_ca_19928548.wav	1.0	1.0756	10
upc_ca_pau_101004.wav	1.0	1.1245	10
common_voice_ca_31222391.wav	1.0	1.1176	10
common_voice_ca_30855397.wav	1.0	1.1902	10
common_voice_ca_31261312.wav	1.0	1.1195	10
upc_ca_pau_101094.wav	1.0	1.2073	10
upc_ca_pau_101076.wav	1.0	1.1918	10
upc_ca_ona_100032.wav	1.0	1.2283	10
upc_ca_pau_101034.wav	1.0	1.4228	10
common_voice_ca_31783620.wav	1.0	1.4242	10
common_voice_ca_31168000.wav	1.0	1.1227	10
common_voice_ca_18179316.wav	1.0	1.0607	10
upc_ca_pau_101134.wav	1.0	1.1264	10
common_voice_ca_31225995.wav	1.0	1.0778	10
common_voice_ca_30768701.wav	1	1	10
common_voice_ca_28791268.wav	1.0	1.0877	10
upc_ca_ona_100041.wav	1.0	1.1198	10
common_voice_ca_31471261.wav	1.0	1.1867	10
common_voice_ca_19290202.wav	1.0	1.8208	10
upc_ca_pau_101082.wav	1.0	1.2052	10
upc_ca_pau_101091.wav	1.0	1.1346	10
common_voice_ca_31319263.wav	1.0	1.2057	10
upc_ca_pau_101097.wav	1.0	1.1581	10
common_voice_ca_19908846.wav	1.0	1.1080	10
upc_ca_ona_100026.wav	1.0	1.0939	10
upc_ca_ona_100091.wav	1.0	1.1816	10
common_voice_ca_31342983.wav	1.0	1.4141	10
upc_ca_ona_100016.wav	1.0	1.2620	10
common_voice_ca_31085491.wav	1.0	1.0899	10
upc_ca_pau_101056.wav	1.0	1.1377	10
common_voice_ca_31434512.wav	1.0	1.0840	10
upc_ca_pau_101018.wav	1.0	1.1979	10
upc_ca_pau_101054.wav	1.0	1.1485	10
upc_ca_pau_101014.wav	1.0	1.2017	10
common_voice_ca_31302556.wav	1.0	1.0974	10
common_voice_ca_31750472.wav	1.0	1.1145	10
upc_ca_ona_100064.wav	1.0	1.1893	10
upc_ca_ona_100044.wav	1.0	1.1104	10
upc_ca_ona_100097.wav	1.0	1.1022	10
upc_ca_pau_101084.wav	1.0	1.1536	10
upc_ca_pau_101062.wav	1.0	1.1253	10
common_voice_ca_31340504.wav	1.0	1.3264	10
common_voice_ca_31497154.wav	1.0	1.1873	10
common_voice_ca_30828394.wav	1.0	1.0820	10
common_voice_ca_19911316.wav	1.0	1.1003	10
upc_ca_ona_100014.wav	1.0	1.1392	10
upc_ca_ona_100098.wav	1.0	1.1005	10
upc_ca_pau_101000.wav	1.0	1.1479	10
upc_ca_ona_100067.wav	1.0	1.2246	10
upc_ca_pau_101066.wav	1.0	1.1526	10
upc_ca_ona_100051.wav	1.0	1.4246	10
upc_ca_ona_100065.wav	1.0	1.2284	10
upc_ca_ona_100057.wav	1.0	1.1336	10
common_voice_ca_31814500.wav	1.0	1.1338	10
common_voice_ca_20502079.wav	1.0	1.1300	10
common_voice_ca_30763773.wav	1.0	1.1252	10
upc_ca_ona_100053.wav	1.0	1.1477	10
common_voice_ca_31132759.wav	1.0	1.1321	10
upc_ca_ona_100094.wav	1.0	1.1931	10
common_voice_ca_30882479.wav	1.0	1.0347	10
common_voice_ca_30935636.wav	1.0	1.1337	10
common_voice_ca_31056644.wav	1.0	1.1356	10
common_voice_ca_19503277.wav	1.0	1.1106	10
common_voice_ca_30816592.wav	1.0	1.3172	10
upc_ca_ona_100099.wav	1.0	1.0962	10
upc_ca_ona_100073.wav	1.0	1.2005	10
upc_ca_ona_100089.wav	1.0	1.1042	10
common_voice_ca_31089514.wav	1.0	1.1679	10
upc_ca_pau_101002.wav	1.0	1.1366	10
common_voice_ca_31325506.wav	1.0	1.2114	10
common_voice_ca_31719365.wav	1.0	1.1037	10
upc_ca_ona_100081.wav	1.0	1.0845	10
common_voice_ca_30886880.wav	1.0	1.2723	10
upc_ca_ona_100004.wav	1.0	1.1499	10
common_voice_ca_31402794.wav	1.0	1.0854	10
common_voice_ca_31222392.wav	1.0	1.0662	10
upc_ca_pau_101100.wav	1.0	1.1457	10
upc_ca_pau_101001.wav	1.0	1.1792	10
upc_ca_ona_100035.wav	1.0	1.1220	10
upc_ca_pau_101085.wav	1.0	1.1637	10
common_voice_ca_31340621.wav	1.0	1.1323	10
upc_ca_ona_100075.wav	1.0	1.0872	10
common_voice_ca_30976359.wav	1.0	1.0912	10
common_voice_ca_31135103.wav	1.0	1.1229	10
upc_ca_ona_100003.wav	1.0	1.0958	10
common_voice_ca_31507051.wav	1.0	1.1081	10
upc_ca_ona_100104.wav	1.0	1.0873	10
upc_ca_ona_100063.wav	1.0	1.1678	10
upc_ca_pau_101009.wav	1.0	1.1821	10
upc_ca_ona_100001.wav	1.0	1.1096	10
upc_ca_pau_101064.wav	1.0	1.1191	10
common_voice_ca_31420992.wav	1.0	1.0754	10
common_voice_ca_30798361.wav	1.0	1.3222	10
common_voice_ca_30858097.wav	1.0	1.0774	10
upc_ca_ona_100037.wav	1.0	1.1409	10
upc_ca_ona_100010.wav	1.0	1.3899	10
upc_ca_pau_101030.wav	1.0	1.1558	10
upc_ca_pau_101103.wav	1.0	1.1801	10
common_voice_ca_31083168.wav	1.0	1.1893	10
upc_ca_ona_100030.wav	1.0	1.1449	10
common_voice_ca_30828399.wav	1.0	1.0789	10
common_voice_ca_30871150.wav	1.0	1.0724	10
upc_ca_ona_100082.wav	1.0	1.1007	10
common_voice_ca_28791267.wav	1.0	1.1904	10
upc_ca_pau_101048.wav	1.0	1.1215	10
common_voice_ca_31811352.wav	1.0	1.0364	10
upc_ca_pau_101039.wav	1.0	1.1463	10
common_voice_ca_20227727.wav	1.0	1.2264	10
common_voice_ca_31721010.wav	1.0	1.1618	10
upc_ca_ona_100074.wav	1.0	1.1185	10
upc_ca_ona_100028.wav	1.0	1.1299	10
upc_ca_ona_100059.wav	1.0	1.0832	10
common_voice_ca_31074096.wav	1.0	1.1945	10
upc_ca_ona_100068.wav	1.0	1.3696	10
upc_ca_ona_100102.wav	1.0	1.1080	10
upc_ca_ona_100092.wav	1.0	1.1077	10
common_voice_ca_30816683.wav	1.0	1.3491	10
upc_ca_pau_101006.wav	1.0	1.1297	10
upc_ca_pau_101072.wav	1.0	1.1901	10
upc_ca_pau_101012.wav	1.0	1.2388	10
common_voice_ca_31173901.wav	1.0	1.2290	10
upc_ca_pau_101073.wav	1.0	1.1177	10
upc_ca_ona_100043.wav	1.0	1.1723	10
common_voice_ca_31168100.wav	1.0	1.1018	10
common_voice_ca_31792897.wav	1.0	1.1405	10
common_voice_ca_30858248.wav	1.0	1.1775	10
upc_ca_ona_100049.wav	1.0	1.1802	10
common_voice_ca_31056631.wav	1.0	1.1903	10
common_voice_ca_30957984.wav	1.0	1.1930	10
upc_ca_pau_101021.wav	1.0	1.2444	10
upc_ca_ona_100066.wav	1.0	1.1418	10
common_voice_ca_31149065.wav	1.0	1.0540	10
common_voice_ca_20325542.wav	1.0	1.0663	10
common_voice_ca_30957086.wav	1.0	1.0954	10
common_voice_ca_31340503.wav	1.0	1.2756	10
upc_ca_pau_101007.wav	1.0	1.2104	10
common_voice_ca_19937250.wav	1.0	1.4474	10
common_voice_ca_30783842.wav	1.0	1.1227	10
upc_ca_ona_100061.wav	1.0	1.2179	10
common_voice_ca_31261336.wav	1.0	1.1032	10
common_voice_ca_31325473.wav	1.0	1.3033	10
common_voice_ca_18489699.wav	1.0	1.0861	10
upc_ca_pau_101080.wav	1.0	1.1054	10
upc_ca_ona_100036.wav	1.0	1.2198	10
upc_ca_pau_101019.wav	1.0	1.1200	10
common_voice_ca_31325807.wav	1.0	1.1940	10
common_voice_ca_31351008.wav	1.0	1.1535	10
upc_ca_ona_100079.wav	1.0	1.1124	10
upc_ca_pau_101008.wav	1.0	1.2270	10
upc_ca_ona_100084.wav	1.0	1.1075	10
upc_ca_ona_100024.wav	1.0	1.2185	10
common_voice_ca_31121143.wav	1.0	1.2844	10
common_voice_ca_31292778.wav	1.0	1.1596	10
upc_ca_ona_100085.wav	1.0	1.0978	10
common_voice_ca_31391614.wav	1.0	1.1451	10
common_voice_ca_31337809.wav	1.0	1.1244	10
common_voice_ca_31339338.wav	1.0	1.0769	10
common_voice_ca_31340683.wav	1.0	1.3769	10
common_voice_ca_31760199.wav	1.0	1.1919	10
common_voice_ca_31345308.wav	1.0	1.0984	10
common_voice_ca_31239887.wav	1.0	1.1594	10
upc_ca_ona_100022.wav	1.0	1.1393	10
upc_ca_pau_101087.wav	1.0	1.1208	10
common_voice_ca_20170673.wav	1.0	1.2075	10
upc_ca_ona_100070.wav	1.0	1.1171	10
upc_ca_ona_100031.wav	1.0	1.1002	10
upc_ca_pau_101102.wav	1.0	1.1659	10
upc_ca_pau_101016.wav	1.0	1.1923	10
common_voice_ca_31820637.wav	1.0	1.1117	10
upc_ca_ona_100058.wav	1.0	1.0770	10
upc_ca_pau_101011.wav	1.0	1.2041	10
upc_ca_pau_101088.wav	1.0	1.1436	10
upc_ca_pau_101104.wav	1.0	1.2114	10
common_voice_ca_31351009.wav	1.0	1.1859	10
common_voice_ca_30806019.wav	1.0	1.2450	10
common_voice_ca_30899625.wav	1.0	1.4013	10
common_voice_ca_31297951.wav	1.0	1.1561	10
common_voice_ca_31315526.wav	1.0	1.0908	10
upc_ca_ona_100046.wav	1.0	1.1217	10
upc_ca_ona_100020.wav	1.0	1.1038	10
common_voice_ca_31159651.wav	1.0	1.1378	10
upc_ca_pau_101071.wav	1.0	1.1954	10
upc_ca_pau_101105.wav	1.0	1.1684	10
upc_ca_pau_101081.wav	1.0	1.1760	10
common_voice_ca_31107623.wav	1.0	1.1385	10
common_voice_ca_30783618.wav	1.0	1.0445	10
common_voice_ca_30788569.wav	1.0	1.1189	10
common_voice_ca_31320917.wav	1.0	1.1497	10
common_voice_ca_31308015.wav	1.0	1.1906	10
common_voice_ca_31257236.wav	1.0	1.0943	10
common_voice_ca_31192759.wav	1.0	1.1587	10
common_voice_ca_31497486.wav	1.0	1.2706	10
upc_ca_pau_101074.wav	1.0	1.1715	10
common_voice_ca_31634015.wav	1.0	1.1997	10
upc_ca_pau_101005.wav	1.0	1.1588	10
upc_ca_ona_100023.wav	1.0	1.1364	10
common_voice_ca_31809241.wav	1.0	1.1618	10
common_voice_ca_31352054.wav	1.0	1.0845	10
upc_ca_pau_101043.wav	1.0	1.1413	10
common_voice_ca_31226001.wav	1.0	1.0879	10
upc_ca_ona_100083.wav	1.0	1.1904	10
common_voice_ca_31324791.wav	1.0	1.1563	10
common_voice_ca_31063225.wav	1.0	1.1189	10
common_voice_ca_31391064.wav	1.0	1.0866	10
common_voice_ca_30798367.wav	1.0	1.3832	10
upc_ca_pau_101027.wav	1.0	1.1912	10
upc_ca_pau_101023.wav	1.0	1.1686	10
common_voice_ca_31501024.wav	1.0	1.1229	10
upc_ca_pau_101038.wav	1.0	1.1257	10
upc_ca_pau_101041.wav	1.0	1.1937	10
upc_ca_pau_101033.wav	1.0	1.3285	10
common_voice_ca_31319267.wav	1.0	1.1874	10
common_voice_ca_23925403.wav	1.0	1.0496	10
common_voice_ca_30746866.wav	1.0	1.0996	10
upc_ca_pau_101029.wav	1.0	1.1268	10
upc_ca_pau_101024.wav	1.0	1.2112	10
upc_ca_pau_101035.wav	1.0	1.1297	10
common_voice_ca_30759191.wav	1.0	1.0441	10
upc_ca_pau_101015.wav	1.0	1.2446	10
common_voice_ca_30949777.wav	1.0	1.2245	10
upc_ca_pau_101040.wav	1.0	1.1148	10
common_voice_ca_31553529.wav	1.0	1.1067	10
upc_ca_ona_100090.wav	1.0	1.1190	10
common_voice_ca_31233148.wav	1.0	1.0747	10
common_voice_ca_31340770.wav	1.0	1.1239	10
upc_ca_pau_101055.wav	1.0	1.2429	10
upc_ca_ona_100009.wav	1.0	1.1920	10
upc_ca_ona_100088.wav	1.0	1.1247	10
upc_ca_ona_100027.wav	1.0	1.1281	10
upc_ca_ona_100017.wav	1.0	1.1215	10
upc_ca_pau_101065.wav	1.0	1.2987	10
common_voice_ca_31773181.wav	1.0	1.1417	10
upc_ca_pau_101050.wav	1.0	1.1233	10
common_voice_ca_31455911.wav	1.0	1.1225	10
common_voice_ca_31195246.wav	1.0	1.2050	10
upc_ca_pau_101067.wav	1.0	1.1755	10
upc_ca_pau_101017.wav	1.0	1.1360	10
common_voice_ca_31118283.wav	1.0	1.1784	10
upc_ca_ona_100039.wav	1.0	1.1737	10
upc_ca_pau_101107.wav	1.0	1.2974	10
common_voice_ca_31783827.wav	1.0	1.1964	10
common_voice_ca_31355082.wav	1.0	1.1161	10
common_voice_ca_30957864.wav	1.0	1.1612	10
common_voice_ca_30957977.wav	1.0	1.1313	10
upc_ca_ona_100011.wav	1.0	1.1218	10
common_voice_ca_19928655.wav	1.0	1.0805	10
common_voice_ca_31241514.wav	1.0	1.1573	10
upc_ca_ona_100086.wav	1.0	1.1010	10
common_voice_ca_30943492.wav	1.0	1.0900	10
common_voice_ca_31302766.wav	1.0	1.1303	10
common_voice_ca_19034690.wav	1.0	1.1938	10
upc_ca_ona_100006.wav	1.0	1.1056	10
common_voice_ca_31430396.wav	1.0	1.0317	10
upc_ca_ona_100007.wav	1.0	1.1389	10
upc_ca_ona_100005.wav	1.0	1.1730	10
common_voice_ca_31340186.wav	1.0	1.2073	10
common_voice_ca_18489700.wav	1.0	1.1863	10
common_voice_ca_31326639.wav	1.0	1.1383	10
common_voice_ca_31118065.wav	1.0	1.0973	10
upc_ca_ona_100040.wav	1.0	1.0979	10
upc_ca_pau_101063.wav	1.0	1.1671	10
upc_ca_ona_100013.wav	1.0	1.1431	10
upc_ca_pau_101058.wav	1.0	1.1024	10
common_voice_ca_31360128.wav	1.0	1.0678	10
common_voice_ca_31265085.wav	1.0	1.1804	10
upc_ca_ona_100018.wav	1.0	1.1466	10
upc_ca_ona_100054.wav	1.0	1.1347	10
upc_ca_ona_100080.wav	1.0	1.0733	10
upc_ca_ona_100000.wav	1.0	1.1453	10
