Filename	WER	PESQ	shift
common_voice_ca_31378986.wav	1.0	1.0266	3
common_voice_ca_31340819.wav	1.0	1.0472	3
upc_ca_pau_101129.wav	1.0	1.0389	3
upc_ca_pau_101059.wav	1.0	1.0354	3
common_voice_ca_31169713.wav	1.0	1.0269	3
common_voice_ca_30791849.wav	1.0	1.0565	3
common_voice_ca_31083166.wav	1.0	1.0464	3
common_voice_ca_31792858.wav	1.0	1.0244	3
upc_ca_pau_101070.wav	1.0	1.0556	3
common_voice_ca_31148020.wav	1.0	1.0415	3
upc_ca_pau_101022.wav	1.0	1.0447	3
common_voice_ca_31480904.wav	1.0	1.0522	3
upc_ca_ona_100029.wav	1.0	1.0275	3
common_voice_ca_30957869.wav	1.0	1.0363	3
upc_ca_ona_100072.wav	1.0	1.0367	3
common_voice_ca_31063184.wav	1.0	1.0803	3
common_voice_ca_31361137.wav	1.0	1.0222	3
common_voice_ca_31147959.wav	1.0	1.1321	3
common_voice_ca_20170672.wav	1.0	1.0682	3
common_voice_ca_31486252.wav	1.0	1.0185	3
upc_ca_pau_101026.wav	1.0	1.0410	3
common_voice_ca_31295592.wav	1.0	1.0799	3
upc_ca_pau_101092.wav	1.0	1.0565	3
upc_ca_pau_101086.wav	1.0	1.0525	3
common_voice_ca_31365503.wav	1.0	1.0572	3
upc_ca_pau_101057.wav	1.0	1.0611	3
common_voice_ca_31464803.wav	1.0	1.0343	3
upc_ca_pau_101025.wav	1.0	1.0637	3
common_voice_ca_31798277.wav	1.0	1.0390	3
upc_ca_ona_100002.wav	1.0	1.0427	3
common_voice_ca_31363197.wav	1.0	1.0322	3
upc_ca_pau_101083.wav	1.0	1.0485	3
common_voice_ca_31417564.wav	1.0	1.0459	3
upc_ca_pau_101003.wav	1.0	1.0322	3
common_voice_ca_31121147.wav	1.0	1.0700	3
upc_ca_ona_100048.wav	1.0	1.0326	3
upc_ca_pau_101068.wav	1.0	1.0825	3
upc_ca_ona_100015.wav	1.0	1.0415	3
common_voice_ca_30886881.wav	1.0	1.0446	3
upc_ca_ona_100105.wav	1.0	1.0439	3
common_voice_ca_31337800.wav	1.0	1.0327	3
common_voice_ca_20325543.wav	1.0	1.0235	3
upc_ca_pau_101013.wav	1.0	1.0442	3
upc_ca_pau_101032.wav	1.0	1.1241	3
upc_ca_pau_101028.wav	1.0	1.0390	3
common_voice_ca_30759190.wav	1.0	1.0293	3
common_voice_ca_31434398.wav	1.0	1.0640	3
common_voice_ca_30778960.wav	1.0	1.0674	3
upc_ca_ona_100038.wav	1.0	1.0421	3
upc_ca_ona_100045.wav	1.0	1.0348	3
common_voice_ca_31246492.wav	1.0	1.0431	3
common_voice_ca_31295233.wav	1.0	1.0252	3
common_voice_ca_31320906.wav	1.0	1.0279	3
common_voice_ca_31107626.wav	1.0	1.0523	3
common_voice_ca_31239888.wav	1.0	1.0390	3
upc_ca_pau_101010.wav	1.0	1.1202	3
common_voice_ca_31376532.wav	1.0	1.0369	3
common_voice_ca_31811566.wav	1.0	1.0188	3
upc_ca_ona_100078.wav	1.0	1.0366	3
upc_ca_ona_100055.wav	1.0	1.0465	3
common_voice_ca_31373745.wav	1.0	1.0318	3
common_voice_ca_30816585.wav	1.0	1.0247	3
common_voice_ca_31296815.wav	1.0	1.0395	3
common_voice_ca_31302775.wav	1.0	1.0543	3
common_voice_ca_31414645.wav	1.0	1.0439	3
upc_ca_pau_101044.wav	1.0	1.0649	3
common_voice_ca_31696838.wav	1.0	1.0430	3
common_voice_ca_31811117.wav	1.0	1.0438	3
upc_ca_pau_101090.wav	1.0	1.0450	3
upc_ca_ona_100077.wav	1.0	1.0563	3
upc_ca_ona_100071.wav	1.0	1.0337	3
common_voice_ca_31345769.wav	1.0	1.0213	3
common_voice_ca_31326681.wav	1.0	1.0513	3
upc_ca_ona_100034.wav	1.0	1.0622	3
upc_ca_pau_101046.wav	1.0	1.0411	3
upc_ca_ona_100069.wav	1.0	1.0383	3
upc_ca_ona_100106.wav	1.0	1.0287	3
common_voice_ca_31345505.wav	1.0	1.0267	3
common_voice_ca_31503560.wav	1.0	1.0333	3
upc_ca_ona_100062.wav	1.0	1.0298	3
upc_ca_ona_100008.wav	1.0	1.0533	3
upc_ca_pau_101051.wav	1.0	1.0927	3
common_voice_ca_31173900.wav	1.0833333333333333	1.0510	3
upc_ca_ona_100025.wav	1.0	1.0643	3
common_voice_ca_31167999.wav	1.0	1.0350	3
upc_ca_pau_101078.wav	1.0	1.0501	3
common_voice_ca_31390571.wav	1.0	1.0217	3
upc_ca_pau_101106.wav	1.0	1.0435	3
upc_ca_pau_101075.wav	1.0	1.0429	3
common_voice_ca_17852479.wav	1.0	1.0228	3
common_voice_ca_27232411.wav	1.0	1.0445	3
upc_ca_ona_100087.wav	1.0	1.0381	3
common_voice_ca_31376805.wav	1.0	1.0404	3
common_voice_ca_31074124.wav	1.0	1.0363	3
upc_ca_pau_101061.wav	1.0	1.0344	3
upc_ca_pau_101049.wav	1.0	1.0410	3
common_voice_ca_31089515.wav	1.0	1.0431	3
common_voice_ca_31149064.wav	1.0	1.0212	3
upc_ca_ona_100107.wav	1.0	1.0348	3
common_voice_ca_30746873.wav	1.0	1.0320	3
common_voice_ca_31135093.wav	1.0	1.0490	3
common_voice_ca_31078509.wav	1.0	1.0418	3
upc_ca_pau_101037.wav	1.0	1.0474	3
upc_ca_ona_100100.wav	1.0	1.0299	3
upc_ca_ona_100056.wav	1.0	1.0332	3
upc_ca_pau_101098.wav	1.0	1.0327	3
common_voice_ca_27293083.wav	1.0	1.0409	3
upc_ca_pau_101089.wav	1.0	1.0430	3
common_voice_ca_31132763.wav	1.0	1.0236	3
common_voice_ca_31277562.wav	1.0	1.0213	3
upc_ca_ona_100012.wav	1.0	1.0327	3
upc_ca_ona_100021.wav	1.0	1.0520	3
common_voice_ca_19937262.wav	1.0	1.0241	3
upc_ca_pau_101045.wav	1.1111111111111112	1.0425	3
upc_ca_pau_101099.wav	1.0	1.0378	3
upc_ca_pau_101053.wav	1.0	1.0496	3
upc_ca_pau_101036.wav	1.0	1.0631	3
common_voice_ca_31085493.wav	1.0	1.0534	3
upc_ca_ona_100019.wav	1.0	1.0401	3
upc_ca_pau_101079.wav	1.0	1.0384	3
common_voice_ca_31798275.wav	1.0	1.0379	3
upc_ca_ona_100050.wav	1.0	1.0308	3
common_voice_ca_31457791.wav	1.0	1.0407	3
common_voice_ca_31246494.wav	1.0	1.0446	3
upc_ca_pau_101020.wav	1.0	1.0502	3
common_voice_ca_31481035.wav	1.0	1.0351	3
upc_ca_pau_101077.wav	1.0	1.0618	3
upc_ca_ona_100103.wav	1.0	1.0294	3
upc_ca_ona_100076.wav	1.0	1.0565	3
upc_ca_ona_100033.wav	1.0	1.0398	3
common_voice_ca_31241498.wav	1.0	1.0798	3
common_voice_ca_19928548.wav	0.8571428571428571	1.0217	3
upc_ca_pau_101004.wav	1.0	1.0423	3
common_voice_ca_31222391.wav	1.0	1.0348	3
common_voice_ca_30855397.wav	0.9285714285714286	1.0379	3
common_voice_ca_31261312.wav	1.0	1.0383	3
upc_ca_pau_101094.wav	1.0	1.0505	3
upc_ca_pau_101076.wav	1.0	1.0552	3
upc_ca_ona_100032.wav	1.0	1.0828	3
upc_ca_pau_101034.wav	1.0	1.0970	3
common_voice_ca_31783620.wav	1.0	1.0857	3
common_voice_ca_31168000.wav	1.0	1.0467	3
common_voice_ca_18179316.wav	1.0	1.0352	3
upc_ca_pau_101134.wav	1.0	1.0358	3
common_voice_ca_31225995.wav	1.0	1.0398	3
common_voice_ca_30768701.wav	1	1.0577	3
