Filename	WER	PESQ	shift
common_voice_ca_31378986.wav	0.9285714285714286	1.0407	0.5
common_voice_ca_31340819.wav	1.0	1.0607	0.5
upc_ca_pau_101129.wav	1.0	1.0758	0.5
upc_ca_pau_101059.wav	1.0	1.0818	0.5
common_voice_ca_31169713.wav	1.0	1.0392	0.5
common_voice_ca_30791849.wav	1.0	1.1017	0.5
common_voice_ca_31083166.wav	1.0	1.0643	0.5
common_voice_ca_31792858.wav	1.0	1.0346	0.5
upc_ca_pau_101070.wav	1.0	1.1197	0.5
common_voice_ca_31148020.wav	1.0	1.0593	0.5
upc_ca_pau_101022.wav	1.0	1.0967	0.5
common_voice_ca_31480904.wav	1.0	1.0579	0.5
upc_ca_ona_100029.wav	0.9655172413793104	1.0490	0.5
common_voice_ca_30957869.wav	1.0	1.0351	0.5
upc_ca_ona_100072.wav	0.9666666666666667	1.0649	0.5
common_voice_ca_31063184.wav	0.9090909090909091	1.1347	0.5
common_voice_ca_31361137.wav	1.0	1.0344	0.5
common_voice_ca_31147959.wav	1.0	1.1943	0.5
common_voice_ca_20170672.wav	1.0	1.1098	0.5
common_voice_ca_31486252.wav	1.0	1.0608	0.5
upc_ca_pau_101026.wav	1.0	1.0970	0.5
common_voice_ca_31295592.wav	1.0	1.1273	0.5
upc_ca_pau_101092.wav	0.9523809523809523	1.1325	0.5
upc_ca_pau_101086.wav	1.0	1.1363	0.5
common_voice_ca_31365503.wav	1.0	1.0887	0.5
upc_ca_pau_101057.wav	1.0	1.1524	0.5
common_voice_ca_31464803.wav	1.0	1.0417	0.5
upc_ca_pau_101025.wav	1.0	1.1086	0.5
common_voice_ca_31798277.wav	1.0	1.0322	0.5
upc_ca_ona_100002.wav	0.9166666666666666	1.0822	0.5
common_voice_ca_31363197.wav	1.0	1.0454	0.5
upc_ca_pau_101083.wav	1.0	1.0931	0.5
common_voice_ca_31417564.wav	1.0	1.0626	0.5
upc_ca_pau_101003.wav	1.0	1.0750	0.5
common_voice_ca_31121147.wav	1.0	1.0777	0.5
upc_ca_ona_100048.wav	0.9354838709677419	1.0598	0.5
upc_ca_pau_101068.wav	1.0	1.1770	0.5
upc_ca_ona_100015.wav	0.9333333333333333	1.0814	0.5
common_voice_ca_30886881.wav	0.9375	1.0584	0.5
upc_ca_ona_100105.wav	0.9285714285714286	1.0860	0.5
common_voice_ca_31337800.wav	1.0	1.0546	0.5
common_voice_ca_20325543.wav	1.0	1.0347	0.5
upc_ca_pau_101013.wav	1.0	1.1088	0.5
upc_ca_pau_101032.wav	1.0	1.2760	0.5
upc_ca_pau_101028.wav	1.0	1.1004	0.5
common_voice_ca_30759190.wav	0.9090909090909091	1.0470	0.5
common_voice_ca_31434398.wav	1.0	1.1031	0.5
common_voice_ca_30778960.wav	1.0	1.0871	0.5
upc_ca_ona_100038.wav	0.9696969696969697	1.0876	0.5
upc_ca_ona_100045.wav	2.6	1.0591	0.5
common_voice_ca_31246492.wav	0.8888888888888888	1.0426	0.5
common_voice_ca_31295233.wav	1.0	1.0365	0.5
common_voice_ca_31320906.wav	0.7692307692307693	1.0430	0.5
common_voice_ca_31107626.wav	1.0	1.0686	0.5
common_voice_ca_31239888.wav	1.0	1.0484	0.5
upc_ca_pau_101010.wav	1.0	1.2095	0.5
common_voice_ca_31376532.wav	1.0	1.0513	0.5
