Filename	WER	PESQ	bitrate
common_voice_ca_31135093.wav	0.0	2.9120	24
common_voice_ca_31078509.wav	0.0	2.3920	24
upc_ca_pau_101037.wav	0.0	3.0786	24
upc_ca_ona_100100.wav	0.0	2.3475	24
upc_ca_ona_100056.wav	0.0	2.5344	24
upc_ca_pau_101098.wav	0.1	2.8101	24
common_voice_ca_27293083.wav	0.0	2.3724	24
upc_ca_pau_101089.wav	0.0	2.6849	24
common_voice_ca_31132763.wav	0.38461538461538464	3.3802	24
common_voice_ca_31277562.wav	0.4	1.7270	24
upc_ca_ona_100012.wav	0.0	2.1358	24
upc_ca_ona_100021.wav	0.0967741935483871	2.5715	24
common_voice_ca_19937262.wav	0.0	2.2062	24
upc_ca_pau_101045.wav	0.1111111111111111	2.8329	24
upc_ca_pau_101099.wav	0.0	2.8235	24
upc_ca_pau_101053.wav	0.0	3.1141	24
upc_ca_pau_101036.wav	0.0	2.9755	24
common_voice_ca_31085493.wav	0.0	1.5974	24
upc_ca_ona_100019.wav	0.1111111111111111	2.3377	24
upc_ca_pau_101079.wav	0.06521739130434782	2.7317	24
common_voice_ca_31798275.wav	0.1	2.1066	24
upc_ca_ona_100050.wav	0.0	2.2797	24
common_voice_ca_31457791.wav	0.06666666666666667	2.9923	24
common_voice_ca_31246494.wav	0.5	2.9806	24
upc_ca_pau_101020.wav	0.0	2.7759	24
common_voice_ca_31481035.wav	0.06666666666666667	2.2455	24
upc_ca_pau_101077.wav	0.0	2.9064	24
upc_ca_ona_100103.wav	0.0	2.4017	24
upc_ca_ona_100076.wav	0.0	2.5350	24
upc_ca_ona_100033.wav	0.0	2.7918	24
common_voice_ca_31241498.wav	0.16666666666666666	3.4417	24
common_voice_ca_19928548.wav	0.07142857142857142	2.5242	24
upc_ca_pau_101004.wav	0.0967741935483871	2.8964	24
common_voice_ca_31222391.wav	0.07692307692307693	2.9637	24
common_voice_ca_30855397.wav	0.5	2.3934	24
common_voice_ca_31261312.wav	0.5	2.1370	24
upc_ca_pau_101094.wav	0.0	2.6702	24
upc_ca_pau_101076.wav	0.0	3.0020	24
upc_ca_ona_100032.wav	0.0	2.5796	24
upc_ca_pau_101034.wav	0.0	3.2190	24
common_voice_ca_31783620.wav	0.14285714285714285	3.4987	24
common_voice_ca_31168000.wav	0.0	2.1630	24
common_voice_ca_18179316.wav	0.6	3.3523	24
upc_ca_pau_101134.wav	0.02631578947368421	2.7335	24
common_voice_ca_31225995.wav	0.16666666666666666	4.1763	24
common_voice_ca_30768701.wav	1	3.1738	24
common_voice_ca_28791268.wav	0.0	2.0702	24
upc_ca_ona_100041.wav	0.0625	2.5028	24
common_voice_ca_31471261.wav	0.14285714285714285	2.5955	24
common_voice_ca_19290202.wav	0.3333333333333333	3.7488	24
upc_ca_pau_101082.wav	0.07894736842105263	3.0855	24
upc_ca_pau_101091.wav	0.0	2.6625	24
common_voice_ca_31319263.wav	0.0	2.5622	24
upc_ca_pau_101097.wav	0.0	3.0354	24
common_voice_ca_19908846.wav	0.0	2.5888	24
upc_ca_ona_100026.wav	0.037037037037037035	2.4974	24
upc_ca_ona_100091.wav	0.0	2.6249	24
common_voice_ca_31342983.wav	0.0	3.0179	24
upc_ca_ona_100016.wav	0.10526315789473684	2.4282	24
common_voice_ca_31085491.wav	0.0	1.3782	24
upc_ca_pau_101056.wav	0.02127659574468085	2.7779	24
common_voice_ca_31434512.wav	0.2727272727272727	3.6740	24
upc_ca_pau_101018.wav	0.0	3.0752	24
upc_ca_pau_101054.wav	0.14285714285714285	2.8162	24
upc_ca_pau_101014.wav	0.03571428571428571	2.7840	24
common_voice_ca_31302556.wav	0.0	1.6851	24
common_voice_ca_31750472.wav	0.0	3.3545	24
upc_ca_ona_100064.wav	0.06451612903225806	2.7450	24
upc_ca_ona_100044.wav	0.0	2.9211	24
upc_ca_ona_100097.wav	0.0	2.6435	24
upc_ca_pau_101084.wav	0.21739130434782608	3.0594	24
upc_ca_pau_101062.wav	0.0	2.7327	24
common_voice_ca_31340504.wav	0.0	3.6048	24
common_voice_ca_31497154.wav	0.0	3.2355	24
common_voice_ca_30828394.wav	0.05263157894736842	2.2202	24
common_voice_ca_19911316.wav	0.1	2.8399	24
upc_ca_ona_100014.wav	0.12903225806451613	2.2713	24
upc_ca_ona_100098.wav	0.0975609756097561	2.4243	24
upc_ca_pau_101000.wav	0.0	3.2149	24
upc_ca_ona_100067.wav	0.0	2.5927	24
upc_ca_pau_101066.wav	0.06896551724137931	2.7288	24
upc_ca_ona_100051.wav	0.0	3.0768	24
upc_ca_ona_100065.wav	0.11764705882352941	2.9336	24
upc_ca_ona_100057.wav	0.0	2.5561	24
common_voice_ca_31814500.wav	0.2222222222222222	1.6683	24
common_voice_ca_20502079.wav	0.0	1.5870	24
common_voice_ca_30763773.wav	0.09090909090909091	3.4539	24
upc_ca_ona_100053.wav	0.0	2.8694	24
common_voice_ca_31132759.wav	0.0	3.1743	24
upc_ca_ona_100094.wav	0.0	2.4089	24
common_voice_ca_30882479.wav	0.0	2.8255	24
common_voice_ca_30935636.wav	0.05263157894736842	2.7534	24
common_voice_ca_31056644.wav	0.0	2.1782	24
common_voice_ca_19503277.wav	0.9	3.4834	24
common_voice_ca_30816592.wav	0.0	1.5091	24
upc_ca_ona_100099.wav	0.0	2.5287	24
upc_ca_ona_100073.wav	0.06451612903225806	2.8053	24
upc_ca_ona_100089.wav	0.0	2.3395	24
common_voice_ca_31089514.wav	0.0	2.5674	24
upc_ca_pau_101002.wav	0.0	2.9086	24
common_voice_ca_31325506.wav	0.08333333333333333	3.0608	24
common_voice_ca_31719365.wav	0.0	3.2586	24
upc_ca_ona_100081.wav	0.08	2.2730	24
common_voice_ca_30886880.wav	0.16666666666666666	3.2791	24
upc_ca_ona_100004.wav	0.0	2.5317	24
