Filename	WER	PESQ	alpha
common_voice_ca_31074124.wav	0.5	1.2251	1.1
upc_ca_pau_101061.wav	0.06060606060606061	1.5569	1.1
upc_ca_pau_101049.wav	0.038461538461538464	1.6777	1.1
common_voice_ca_31089515.wav	0.0	1.4838	1.1
common_voice_ca_31149064.wav	0.0	1.1140	1.1
upc_ca_ona_100107.wav	0.25	1.1862	1.1
common_voice_ca_30746873.wav	0.6153846153846154	1.2719	1.1
common_voice_ca_31135093.wav	0.0	1.3819	1.1
common_voice_ca_31078509.wav	0.0	1.1913	1.1
upc_ca_pau_101037.wav	0.0	1.6735	1.1
upc_ca_ona_100100.wav	0.02631578947368421	1.1869	1.1
upc_ca_ona_100056.wav	0.02127659574468085	1.1990	1.1
upc_ca_pau_101098.wav	0.05	1.5342	1.1
common_voice_ca_27293083.wav	0.0	1.1914	1.1
upc_ca_pau_101089.wav	0.0	1.6383	1.1
common_voice_ca_31132763.wav	0.23076923076923078	1.3308	1.1
common_voice_ca_31277562.wav	0.0	1.1203	1.1
upc_ca_ona_100012.wav	0.0	1.1853	1.1
upc_ca_ona_100021.wav	0.0	1.2626	1.1
common_voice_ca_19937262.wav	0.0	1.2962	1.1
upc_ca_pau_101045.wav	0.0	1.6769	1.1
upc_ca_pau_101099.wav	0.16666666666666666	1.6311	1.1
upc_ca_pau_101053.wav	0.0	1.6678	1.1
upc_ca_pau_101036.wav	0.0	1.7701	1.1
common_voice_ca_31085493.wav	0.0	1.1384	1.1
upc_ca_ona_100019.wav	0.0	1.2146	1.1
upc_ca_pau_101079.wav	0.08695652173913043	1.5575	1.1
common_voice_ca_31798275.wav	0.1	1.2315	1.1
upc_ca_ona_100050.wav	0.04878048780487805	1.1804	1.1
common_voice_ca_31457791.wav	0.06666666666666667	1.7027	1.1
common_voice_ca_31246494.wav	0.5	1.2250	1.1
upc_ca_pau_101020.wav	0.0	1.6439	1.1
common_voice_ca_31481035.wav	0.06666666666666667	1.1548	1.1
upc_ca_pau_101077.wav	0.17647058823529413	1.6821	1.1
upc_ca_ona_100103.wav	0.0	1.1305	1.1
upc_ca_ona_100076.wav	0.0	1.2915	1.1
upc_ca_ona_100033.wav	0.14285714285714285	1.2407	1.1
common_voice_ca_31241498.wav	0.16666666666666666	1.3193	1.1
common_voice_ca_19928548.wav	0.14285714285714285	1.2403	1.1
upc_ca_pau_101004.wav	0.0	1.6576	1.1
common_voice_ca_31222391.wav	0.0	1.1882	1.1
common_voice_ca_30855397.wav	0.42857142857142855	1.4229	1.1
common_voice_ca_31261312.wav	0.5	1.2129	1.1
upc_ca_pau_101094.wav	0.0	1.6444	1.1
upc_ca_pau_101076.wav	0.2857142857142857	1.8700	1.1
upc_ca_ona_100032.wav	0.0	1.5340	1.1
upc_ca_pau_101034.wav	0.125	2.0131	1.1
common_voice_ca_31783620.wav	0.0	1.4844	1.1
common_voice_ca_31168000.wav	0.0	1.3227	1.1
common_voice_ca_18179316.wav	0.6	1.1746	1.1
upc_ca_pau_101134.wav	0.0	1.6870	1.1
common_voice_ca_31225995.wav	0.16666666666666666	1.2021	1.1
common_voice_ca_30768701.wav	1	1.5744	1.1
common_voice_ca_28791268.wav	0.07142857142857142	1.2211	1.1
upc_ca_ona_100041.wav	0.1875	1.2241	1.1
common_voice_ca_31471261.wav	0.35714285714285715	1.2183	1.1
common_voice_ca_19290202.wav	1.0	2.5328	1.1
upc_ca_pau_101082.wav	0.02631578947368421	1.7097	1.1
upc_ca_pau_101091.wav	0.03333333333333333	1.5795	1.1
common_voice_ca_31319263.wav	0.0	1.6997	1.1
upc_ca_pau_101097.wav	0.125	1.6635	1.1
common_voice_ca_19908846.wav	0.0	1.2320	1.1
upc_ca_ona_100026.wav	0.07407407407407407	1.1848	1.1
upc_ca_ona_100091.wav	0.03225806451612903	1.2773	1.1
common_voice_ca_31342983.wav	0.2857142857142857	1.6954	1.1
upc_ca_ona_100016.wav	0.0	1.4280	1.1
common_voice_ca_31085491.wav	0.0	1.1111	1.1
upc_ca_pau_101056.wav	0.0851063829787234	1.6427	1.1
common_voice_ca_31434512.wav	0.09090909090909091	1.1395	1.1
upc_ca_pau_101018.wav	0.0	1.6378	1.1
upc_ca_pau_101054.wav	0.11428571428571428	1.6781	1.1
upc_ca_pau_101014.wav	0.0	1.6396	1.1
common_voice_ca_31302556.wav	0.0	1.2287	1.1
common_voice_ca_31750472.wav	0.3	1.1729	1.1
upc_ca_ona_100064.wav	0.0	1.3096	1.1
upc_ca_ona_100044.wav	0.0	1.2048	1.1
upc_ca_ona_100097.wav	0.0	1.1777	1.1
upc_ca_pau_101084.wav	0.043478260869565216	1.6730	1.1
upc_ca_pau_101062.wav	0.0	1.6460	1.1
common_voice_ca_31340504.wav	0.0	1.7276	1.1
common_voice_ca_31497154.wav	0.0	1.2640	1.1
common_voice_ca_30828394.wav	0.05263157894736842	1.0973	1.1
common_voice_ca_19911316.wav	0.1	1.4536	1.1
upc_ca_ona_100014.wav	0.06451612903225806	1.2374	1.1
upc_ca_ona_100098.wav	0.04878048780487805	1.1624	1.1
upc_ca_pau_101000.wav	0.0	1.7256	1.1
upc_ca_ona_100067.wav	0.0	1.3696	1.1
upc_ca_pau_101066.wav	0.06896551724137931	1.6676	1.1
upc_ca_ona_100051.wav	0.06666666666666667	1.6072	1.1
upc_ca_ona_100065.wav	0.0	1.3141	1.1
upc_ca_ona_100057.wav	0.0	1.2308	1.1
common_voice_ca_31814500.wav	0.0	1.6121	1.1
common_voice_ca_20502079.wav	0.0	1.2138	1.1
common_voice_ca_30763773.wav	0.2727272727272727	1.1018	1.1
upc_ca_ona_100053.wav	0.0	1.2609	1.1
common_voice_ca_31132759.wav	0.18181818181818182	1.2754	1.1
upc_ca_ona_100094.wav	0.0	1.2582	1.1
common_voice_ca_30882479.wav	0.14285714285714285	1.2799	1.1
common_voice_ca_30935636.wav	0.10526315789473684	1.3617	1.1
common_voice_ca_31056644.wav	0.0	1.3702	1.1
common_voice_ca_19503277.wav	1.0	1.2482	1.1
common_voice_ca_30816592.wav	0.0	1.3153	1.1
upc_ca_ona_100099.wav	0.0	1.1815	1.1
upc_ca_ona_100073.wav	0.0	1.3054	1.1
upc_ca_ona_100089.wav	0.0	1.1967	1.1
common_voice_ca_31089514.wav	0.14285714285714285	1.4951	1.1
upc_ca_pau_101002.wav	0.0	1.6822	1.1
common_voice_ca_31325506.wav	0.08333333333333333	1.6075	1.1
common_voice_ca_31719365.wav	0.3	1.2823	1.1
upc_ca_ona_100081.wav	0.0	1.1591	1.1
common_voice_ca_30886880.wav	1.0	1.3055	1.1
upc_ca_ona_100004.wav	0.0	1.3102	1.1
common_voice_ca_31402794.wav	0.0	1.1650	1.1
common_voice_ca_31222392.wav	0.0	1.1709	1.1
upc_ca_pau_101100.wav	0.02631578947368421	1.6974	1.1
upc_ca_pau_101001.wav	0.0	1.7646	1.1
upc_ca_ona_100035.wav	0.0	1.2156	1.1
upc_ca_pau_101085.wav	0.0	1.8216	1.1
common_voice_ca_31340621.wav	0.0	1.2922	1.1
upc_ca_ona_100075.wav	0.0	1.1658	1.1
common_voice_ca_30976359.wav	0.0	1.1382	1.1
common_voice_ca_31135103.wav	0.0625	1.3199	1.1
upc_ca_ona_100003.wav	0.0	1.2096	1.1
common_voice_ca_31507051.wav	0.3333333333333333	1.5618	1.1
upc_ca_ona_100104.wav	0.0	1.1548	1.1
upc_ca_ona_100063.wav	0.0	1.3443	1.1
upc_ca_pau_101009.wav	0.0	1.6783	1.1
upc_ca_ona_100001.wav	0.02631578947368421	1.2404	1.1
upc_ca_pau_101064.wav	0.0	1.6667	1.1
common_voice_ca_31420992.wav	0.0	1.1316	1.1
common_voice_ca_30798361.wav	0.0	1.3784	1.1
common_voice_ca_30858097.wav	0.14285714285714285	1.1202	1.1
upc_ca_ona_100037.wav	0.06896551724137931	1.2492	1.1
upc_ca_ona_100010.wav	0.0	1.5053	1.1
upc_ca_pau_101030.wav	0.04	1.6288	1.1
upc_ca_pau_101103.wav	0.04	1.7895	1.1
common_voice_ca_31083168.wav	0.1875	1.5685	1.1
upc_ca_ona_100030.wav	0.0	1.2034	1.1
common_voice_ca_30828399.wav	0.0	1.1294	1.1
common_voice_ca_30871150.wav	0.125	1.1533	1.1
upc_ca_ona_100082.wav	0.1388888888888889	1.2019	1.1
common_voice_ca_28791267.wav	0.7	1.3805	1.1
upc_ca_pau_101048.wav	0.0	1.6519	1.1
common_voice_ca_31811352.wav	0.15384615384615385	1.0812	1.1
upc_ca_pau_101039.wav	0.07692307692307693	1.6529	1.1
common_voice_ca_20227727.wav	0.0	1.5048	1.1
common_voice_ca_31721010.wav	0.125	1.4254	1.1
upc_ca_ona_100074.wav	0.0	1.1716	1.1
upc_ca_ona_100028.wav	0.024390243902439025	1.2407	1.1
upc_ca_ona_100059.wav	0.0	1.1723	1.1
common_voice_ca_31074096.wav	0.0	1.0986	1.1
upc_ca_ona_100068.wav	0.0	1.5571	1.1
upc_ca_ona_100102.wav	0.0	1.1768	1.1
upc_ca_ona_100092.wav	0.0	1.1878	1.1
common_voice_ca_30816683.wav	0.0	1.3679	1.1
upc_ca_pau_101006.wav	0.03333333333333333	1.5523	1.1
upc_ca_pau_101072.wav	0.034482758620689655	1.7082	1.1
upc_ca_pau_101012.wav	0.07692307692307693	1.5568	1.1
common_voice_ca_31173901.wav	0.2857142857142857	1.7713	1.1
upc_ca_pau_101073.wav	0.03225806451612903	1.6319	1.1
upc_ca_ona_100043.wav	0.0	1.2751	1.1
common_voice_ca_31168100.wav	0.09090909090909091	1.1727	1.1
common_voice_ca_31792897.wav	0.1	1.1900	1.1
common_voice_ca_30858248.wav	0.09090909090909091	1.2170	1.1
upc_ca_ona_100049.wav	0.0	1.2930	1.1
common_voice_ca_31056631.wav	0.0	1.3086	1.1
common_voice_ca_30957984.wav	0.0	1.5016	1.1
upc_ca_pau_101021.wav	0.0967741935483871	1.8613	1.1
upc_ca_ona_100066.wav	0.03571428571428571	1.2777	1.1
common_voice_ca_31149065.wav	0.2	1.2293	1.1
common_voice_ca_20325542.wav	0.0	1.2001	1.1
common_voice_ca_30957086.wav	0.0	1.2750	1.1
common_voice_ca_31340503.wav	0.0	1.5498	1.1
upc_ca_pau_101007.wav	0.0	1.6935	1.1
common_voice_ca_19937250.wav	0.16666666666666666	1.5444	1.1
common_voice_ca_30783842.wav	0.1111111111111111	1.1809	1.1
upc_ca_ona_100061.wav	0.0	1.3727	1.1
common_voice_ca_31261336.wav	0.1	1.2788	1.1
common_voice_ca_31325473.wav	0.2	1.5034	1.1
common_voice_ca_18489699.wav	0.0	1.3904	1.1
upc_ca_pau_101080.wav	0.0	1.6315	1.1
upc_ca_ona_100036.wav	0.0	1.3426	1.1
upc_ca_pau_101019.wav	0.1388888888888889	1.5315	1.1
common_voice_ca_31325807.wav	0.0	1.2977	1.1
common_voice_ca_31351008.wav	0.0	1.1686	1.1
upc_ca_ona_100079.wav	0.0	1.1848	1.1
upc_ca_pau_101008.wav	0.15789473684210525	1.8242	1.1
upc_ca_ona_100084.wav	0.0	1.2096	1.1
upc_ca_ona_100024.wav	0.0	1.3901	1.1
common_voice_ca_31121143.wav	0.0	1.6287	1.1
common_voice_ca_31292778.wav	0.2	1.2587	1.1
upc_ca_ona_100085.wav	0.06818181818181818	1.1588	1.1
common_voice_ca_31391614.wav	0.0	1.1898	1.1
common_voice_ca_31337809.wav	0.0	1.5911	1.1
common_voice_ca_31339338.wav	0.07142857142857142	1.2880	1.1
common_voice_ca_31340683.wav	0.0	1.4443	1.1
common_voice_ca_31760199.wav	0.125	1.4401	1.1
common_voice_ca_31345308.wav	0.0	1.1959	1.1
common_voice_ca_31239887.wav	0.25	1.4279	1.1
upc_ca_ona_100022.wav	0.0	1.2419	1.1
upc_ca_pau_101087.wav	0.0	1.6140	1.1
common_voice_ca_20170673.wav	0.16666666666666666	1.7574	1.1
upc_ca_ona_100070.wav	0.0	1.1925	1.1
upc_ca_ona_100031.wav	0.01818181818181818	1.1905	1.1
upc_ca_pau_101102.wav	0.0	1.6744	1.1
upc_ca_pau_101016.wav	0.05263157894736842	1.8263	1.1
common_voice_ca_31820637.wav	0.0	1.1871	1.1
upc_ca_ona_100058.wav	0.06818181818181818	1.1493	1.1
upc_ca_pau_101011.wav	0.045454545454545456	1.8620	1.1
upc_ca_pau_101088.wav	0.0	1.6714	1.1
upc_ca_pau_101104.wav	0.0	1.6813	1.1
common_voice_ca_31351009.wav	0.0	1.2702	1.1
common_voice_ca_30806019.wav	0.16666666666666666	1.5594	1.1
common_voice_ca_30899625.wav	0.0	1.4491	1.1
common_voice_ca_31297951.wav	0.18181818181818182	1.1757	1.1
common_voice_ca_31315526.wav	0.07692307692307693	1.2979	1.1
upc_ca_ona_100046.wav	0.0	1.2178	1.1
upc_ca_ona_100020.wav	0.0	1.2362	1.1
common_voice_ca_31159651.wav	0.09090909090909091	1.3621	1.1
upc_ca_pau_101071.wav	0.15384615384615385	1.8719	1.1
upc_ca_pau_101105.wav	0.0	1.7538	1.1
upc_ca_pau_101081.wav	0.16666666666666666	1.8165	1.1
common_voice_ca_31107623.wav	0.2	1.1916	1.1
common_voice_ca_30783618.wav	0.3	1.1073	1.1
common_voice_ca_30788569.wav	0.0	1.5453	1.1
common_voice_ca_31320917.wav	0.07692307692307693	1.2609	1.1
common_voice_ca_31308015.wav	0.0	1.3709	1.1
common_voice_ca_31257236.wav	0.25	1.3502	1.1
common_voice_ca_31192759.wav	0.0	1.2512	1.1
common_voice_ca_31497486.wav	0.0	1.6855	1.1
upc_ca_pau_101074.wav	0.03571428571428571	1.8179	1.1
common_voice_ca_31634015.wav	0.0	1.4324	1.1
upc_ca_pau_101005.wav	0.0	1.6413	1.1
upc_ca_ona_100023.wav	0.030303030303030304	1.2527	1.1
common_voice_ca_31809241.wav	0.0	1.5385	1.1
common_voice_ca_31352054.wav	0.125	1.3537	1.1
upc_ca_pau_101043.wav	0.058823529411764705	1.6308	1.1
common_voice_ca_31226001.wav	0.0	1.2828	1.1
upc_ca_ona_100083.wav	0.037037037037037035	1.3191	1.1
common_voice_ca_31324791.wav	0.0	1.4636	1.1
common_voice_ca_31063225.wav	0.0	1.1752	1.1
common_voice_ca_31391064.wav	0.15384615384615385	1.1703	1.1
common_voice_ca_30798367.wav	0.3333333333333333	1.9567	1.1
upc_ca_pau_101027.wav	0.0	1.7490	1.1
upc_ca_pau_101023.wav	0.06060606060606061	1.5990	1.1
common_voice_ca_31501024.wav	0.0	1.3394	1.1
upc_ca_pau_101038.wav	0.03125	1.5991	1.1
upc_ca_pau_101041.wav	0.11764705882352941	1.7352	1.1
upc_ca_pau_101033.wav	0.0625	1.8094	1.1
common_voice_ca_31319267.wav	0.0	1.6841	1.1
common_voice_ca_23925403.wav	0.16666666666666666	1.1579	1.1
common_voice_ca_30746866.wav	0.09090909090909091	1.2692	1.1
upc_ca_pau_101029.wav	0.0	1.5491	1.1
upc_ca_pau_101024.wav	0.0	1.6587	1.1
upc_ca_pau_101035.wav	0.0	1.6550	1.1
common_voice_ca_30759191.wav	0.16666666666666666	1.1564	1.1
upc_ca_pau_101015.wav	0.03225806451612903	1.8701	1.1
common_voice_ca_30949777.wav	0.0	1.4179	1.1
upc_ca_pau_101040.wav	0.0	1.4921	1.1
common_voice_ca_31553529.wav	0.0	1.1247	1.1
upc_ca_ona_100090.wav	0.0	1.2178	1.1
common_voice_ca_31233148.wav	0.06666666666666667	1.3645	1.1
common_voice_ca_31340770.wav	0.18181818181818182	1.2251	1.1
upc_ca_pau_101055.wav	0.045454545454545456	1.7752	1.1
upc_ca_ona_100009.wav	0.043478260869565216	1.3272	1.1
upc_ca_ona_100088.wav	0.037037037037037035	1.1967	1.1
upc_ca_ona_100027.wav	0.0	1.2333	1.1
upc_ca_ona_100017.wav	0.04	1.2438	1.1
upc_ca_pau_101065.wav	0.0	1.8227	1.1
common_voice_ca_31773181.wav	0.2222222222222222	1.3039	1.1
upc_ca_pau_101050.wav	0.0	1.5456	1.1
common_voice_ca_31455911.wav	0.25	1.3394	1.1
common_voice_ca_31195246.wav	0.08333333333333333	1.4848	1.1
upc_ca_pau_101067.wav	0.19230769230769232	1.6491	1.1
upc_ca_pau_101017.wav	0.04	1.6489	1.1
common_voice_ca_31118283.wav	0.0	1.6318	1.1
upc_ca_ona_100039.wav	0.0	1.3385	1.1
upc_ca_pau_101107.wav	0.09090909090909091	1.9317	1.1
common_voice_ca_31783827.wav	0.3333333333333333	1.6313	1.1
common_voice_ca_31355082.wav	0.3076923076923077	1.1737	1.1
common_voice_ca_30957864.wav	0.2	1.1948	1.1
common_voice_ca_30957977.wav	0.0	1.2616	1.1
upc_ca_ona_100011.wav	0.047619047619047616	1.2480	1.1
common_voice_ca_19928655.wav	0.46153846153846156	1.2029	1.1
common_voice_ca_31241514.wav	0.08333333333333333	1.3113	1.1
upc_ca_ona_100086.wav	0.0	1.1880	1.1
common_voice_ca_30943492.wav	0.3181818181818182	1.2455	1.1
common_voice_ca_31302766.wav	0.0	1.4799	1.1
common_voice_ca_19034690.wav	1.0	1.4453	1.1
upc_ca_ona_100006.wav	0.0	1.2064	1.1
common_voice_ca_31430396.wav	0.0	1.2341	1.1
upc_ca_ona_100007.wav	0.0	1.2759	1.1
upc_ca_ona_100005.wav	0.0	1.3066	1.1
common_voice_ca_31340186.wav	0.0	1.8038	1.1
common_voice_ca_18489700.wav	0.3333333333333333	1.5663	1.1
common_voice_ca_31326639.wav	0.0	1.3337	1.1
common_voice_ca_31118065.wav	0.16666666666666666	1.2882	1.1
upc_ca_ona_100040.wav	0.0	1.1617	1.1
upc_ca_pau_101063.wav	0.0	1.7643	1.1
upc_ca_ona_100013.wav	0.0	1.2925	1.1
upc_ca_pau_101058.wav	0.15555555555555556	1.5195	1.1
common_voice_ca_31360128.wav	0.36363636363636365	1.5681	1.1
common_voice_ca_31265085.wav	0.0	1.2253	1.1
upc_ca_ona_100018.wav	0.0	1.2649	1.1
upc_ca_ona_100054.wav	0.058823529411764705	1.2271	1.1
upc_ca_ona_100080.wav	0.0	1.1422	1.1
upc_ca_ona_100000.wav	0.0	1.2700	1.1
