Filename	WER	PESQ	timepercentage
common_voice_ca_31085493.wav	0.0	3.4193	1
upc_ca_ona_100019.wav	0.027777777777777776	4.2547	1
upc_ca_pau_101079.wav	0.06521739130434782	4.3644	1
common_voice_ca_31798275.wav	0.0	3.9121	1
upc_ca_ona_100050.wav	0.0	4.5529	1
common_voice_ca_31457791.wav	0.0	4.0249	1
common_voice_ca_31246494.wav	0.0	3.7877	1
upc_ca_pau_101020.wav	0.0	4.1742	1
common_voice_ca_31481035.wav	0.0	4.0986	1
upc_ca_pau_101077.wav	0.0	4.1643	1
upc_ca_ona_100103.wav	0.0	4.3430	1
upc_ca_ona_100076.wav	0.0	4.0334	1
upc_ca_ona_100033.wav	0.0	4.1230	1
common_voice_ca_31241498.wav	0.0	4.0541	1
common_voice_ca_19928548.wav	0.0	3.8061	1
upc_ca_pau_101004.wav	0.0	4.1741	1
common_voice_ca_31222391.wav	0.0	4.0230	1
common_voice_ca_30855397.wav	0.0	4.0107	1
common_voice_ca_31261312.wav	0.0	4.5327	1
upc_ca_pau_101094.wav	0.2	3.9238	1
upc_ca_pau_101076.wav	0.0	4.4980	1
upc_ca_ona_100032.wav	0.0	4.0768	1
upc_ca_pau_101034.wav	0.0	4.4917	1
common_voice_ca_31783620.wav	0.0	3.8391	1
common_voice_ca_31168000.wav	0.0	4.3645	1
common_voice_ca_18179316.wav	0.0	3.6324	1
upc_ca_pau_101134.wav	0.02631578947368421	4.2370	1
common_voice_ca_31225995.wav	0.0	3.7971	1
common_voice_ca_30768701.wav	1	3.9906	1
common_voice_ca_28791268.wav	0.0	3.7777	1
upc_ca_ona_100041.wav	0.0	4.4950	1
common_voice_ca_31471261.wav	0.07142857142857142	4.3123	1
common_voice_ca_19290202.wav	0.0	4.5335	1
upc_ca_pau_101082.wav	0.0	4.4821	1
upc_ca_pau_101091.wav	0.0	4.2624	1
common_voice_ca_31319263.wav	0.0	3.8277	1
upc_ca_pau_101097.wav	0.041666666666666664	4.1174	1
common_voice_ca_19908846.wav	0.0	3.9322	1
upc_ca_ona_100026.wav	0.0	4.2339	1
upc_ca_ona_100091.wav	0.03225806451612903	4.2861	1
common_voice_ca_31342983.wav	0.0	3.7103	1
upc_ca_ona_100016.wav	0.05263157894736842	4.0615	1
common_voice_ca_31085491.wav	0.0	4.5546	1
upc_ca_pau_101056.wav	0.0	4.3073	1
common_voice_ca_31434512.wav	0.0	3.6690	1
upc_ca_pau_101018.wav	0.0	4.5483	1
upc_ca_pau_101054.wav	0.08571428571428572	4.2748	1
upc_ca_pau_101014.wav	0.0	4.5461	1
common_voice_ca_31302556.wav	0.0	3.9602	1
common_voice_ca_31750472.wav	0.0	3.7302	1
upc_ca_ona_100064.wav	0.0	4.2826	1
upc_ca_ona_100044.wav	0.0	4.0548	1
upc_ca_ona_100097.wav	0.0	4.1135	1
upc_ca_pau_101084.wav	0.043478260869565216	4.0753	1
upc_ca_pau_101062.wav	0.0	4.2900	1
common_voice_ca_31340504.wav	0.0	4.2567	1
common_voice_ca_31497154.wav	0.0	3.9352	1
common_voice_ca_30828394.wav	0.0	4.5701	1
common_voice_ca_19911316.wav	0.0	3.8892	1
upc_ca_ona_100014.wav	0.03225806451612903	4.2581	1
