Filename	WER	PESQ	stretch
common_voice_ca_31378986.wav	0.0	1.8165	0.85
common_voice_ca_31340819.wav	0.16666666666666666	1.1252	0.85
upc_ca_pau_101129.wav	0.08333333333333333	1.3664	0.85
upc_ca_pau_101059.wav	0.15	1.5148	0.85
common_voice_ca_31169713.wav	1.0	1.1550	0.85
common_voice_ca_30791849.wav	0.4	1.7398	0.85
common_voice_ca_31083166.wav	0.2727272727272727	1.5771	0.85
common_voice_ca_31792858.wav	0.5	1.5918	0.85
upc_ca_pau_101070.wav	0.0	1.7262	0.85
common_voice_ca_31148020.wav	0.07692307692307693	1.3423	0.85
upc_ca_pau_101022.wav	0.1282051282051282	2.3733	0.85
common_voice_ca_31480904.wav	0.42857142857142855	1.0760	0.85
upc_ca_ona_100029.wav	0.0	1.0935	0.85
common_voice_ca_30957869.wav	0.5714285714285714	2.0797	0.85
upc_ca_ona_100072.wav	0.06666666666666667	2.0233	0.85
common_voice_ca_31063184.wav	0.36363636363636365	1.7644	0.85
common_voice_ca_31361137.wav	0.3	1.4771	0.85
common_voice_ca_31147959.wav	0.0	1.8845	0.85
common_voice_ca_20170672.wav	0.45454545454545453	2.9843	0.85
common_voice_ca_31486252.wav	0.09090909090909091	1.7994	0.85
upc_ca_pau_101026.wav	0.03571428571428571	3.2451	0.85
common_voice_ca_31295592.wav	0.75	1.9913	0.85
upc_ca_pau_101092.wav	0.19047619047619047	2.0140	0.85
upc_ca_pau_101086.wav	0.0	4.1349	0.85
common_voice_ca_31365503.wav	0.0	3.2163	0.85
upc_ca_pau_101057.wav	0.043478260869565216	3.3950	0.85
common_voice_ca_31464803.wav	0.8571428571428571	1.5735	0.85
upc_ca_pau_101025.wav	0.35714285714285715	3.3682	0.85
common_voice_ca_31798277.wav	0.1111111111111111	1.6917	0.85
upc_ca_ona_100002.wav	0.08333333333333333	1.3720	0.85
common_voice_ca_31363197.wav	0.13333333333333333	1.1875	0.85
upc_ca_pau_101083.wav	0.14285714285714285	3.5460	0.85
common_voice_ca_31417564.wav	0.8181818181818182	2.9987	0.85
upc_ca_pau_101003.wav	0.06666666666666667	1.3033	0.85
common_voice_ca_31121147.wav	0.3	1.0981	0.85
upc_ca_ona_100048.wav	0.0	1.5964	0.85
upc_ca_pau_101068.wav	0.0	1.6218	0.85
upc_ca_ona_100015.wav	0.06666666666666667	1.1193	0.85
common_voice_ca_30886881.wav	0.125	1.8695	0.85
upc_ca_ona_100105.wav	0.0	3.2281	0.85
common_voice_ca_31337800.wav	0.42857142857142855	1.3543	0.85
common_voice_ca_20325543.wav	0.4166666666666667	2.7293	0.85
upc_ca_pau_101013.wav	0.05	1.6987	0.85
upc_ca_pau_101032.wav	0.08333333333333333	1.4963	0.85
upc_ca_pau_101028.wav	0.875	3.7687	0.85
common_voice_ca_30759190.wav	0.36363636363636365	1.5385	0.85
common_voice_ca_31434398.wav	0.6	1.7344	0.85
common_voice_ca_30778960.wav	1.0	1.9608	0.85
upc_ca_ona_100038.wav	0.030303030303030304	1.5610	0.85
upc_ca_ona_100045.wav	1.6	1.2097	0.85
common_voice_ca_31246492.wav	0.1111111111111111	1.4611	0.85
common_voice_ca_31295233.wav	0.0	1.0819	0.85
common_voice_ca_31320906.wav	0.3076923076923077	1.9647	0.85
common_voice_ca_31107626.wav	0.5555555555555556	1.9173	0.85
common_voice_ca_31239888.wav	0.23076923076923078	1.1985	0.85
upc_ca_pau_101010.wav	0.0	2.4229	0.85
common_voice_ca_31376532.wav	0.1111111111111111	2.3380	0.85
